claim_id,contract_id,occurrence_date,declaration_date,claim_type,damage_amount,indemnified_amount,status,expert_id,liability
CLM_0000029,CTR_013068,2023-06-26,2026-08-01,Glass_damage,0.0,0.0,Open,EXP_004,Pending_Evaluation
CLM_0000030,CTR_013697,2023-06-26,2026-08-01,Fire,3048.82,0.0,Expert_review,EXP_007,Third_party
CLM_0000031,CTR_000593,2023-06-26,2026-08-01,Vandalism,1221.46,0.0,In_progress,EXP_008,Shared
CLM_0000032,CTR_013908,2023-06-26,2026-08-01,Fire,1481.63,0.0,In_progress,Unassigned,Pending_Evaluation
CLM_0000033,CTR_003218,2023-06-26,2024-07-03,Fire,2166.96,1591.69,Closed,EXP_020,Shared
CLM_0000034,CTR_010919,2023-06-26,2026-08-01,Vandalism,2149.08,1973.17,Closed,EXP_016,Shared
CLM_0000035,CTR_006027,2023-06-26,2023-03-11,Fire,848.0,0.0,Rejected,EXP_006,Insured
CLM_0000036,CTR_000040,2023-06-26,2025-03-09,Fire,2015.98,0.0,Expert_review,EXP_018,Shared
CLM_0000037,CTR_013953,2023-09-29,2023-07-10,Vandalism,2102.55,0.0,Rejected,Unassigned,Pending_Evaluation
CLM_0000038,CTR_007080,2023-06-26,2024-02-08,Glass_damage,250.65,0.0,Rejected,EXP_009,Insured
CLM_0000039,CTR_012582,2023-06-26,2026-08-01,Vandalism,2794.59,2386.26,Closed,Unassigned,Insured
CLM_0000040,CTR_005775,2023-06-26,2026-08-01,Vandalism,805.93,545.85,Closed,EXP_020,Pending_Evaluation
CLM_0000041,CTR_001141,2023-12-25,2024-07-02,Vandalism,2853.85,0.0,Rejected,EXP_020,Insured
CLM_0000042,CTR_003440,2023-06-26,2026-08-01,Vandalism,1015.07,0.0,Rejected,EXP_016,Third_party
CLM_0000043,CTR_008458,2023-06-26,2025-06-07,Fire,2110.58,0.0,Expert_review,Unassigned,Insured
CLM_0000044,CTR_003172,2023-06-26,2026-08-01,Glass_damage,661.78,0.0,Expert_review,EXP_011,Third_party
CLM_0000045,CTR_012301,2023-06-26,2026-08-01,Fire,881.78,0.0,In_progress,EXP_003,Insured
CLM_0000046,CTR_005183,2023-06-26,2026-08-01,Vandalism,2380.24,1770.14,Closed,EXP_017,Shared
CLM_0000047,CTR_008102,2023-06-26,2026-08-01,Glass_damage,365.99,0.0,Closed,Unassigned,Third_party
CLM_0000048,CTR_008396,2023-06-26,2024-01-11,Theft,16846.54,0.0,Rejected,Unassigned,Third_party
CLM_0000049,CTR_010046,2023-06-26,2026-08-01,Fire,2033.88,0.0,Rejected,EXP_013,Shared
CLM_0000050,CTR_013313,2023-06-26,2026-08-01,Fire,1666.68,826.0,Closed,EXP_001,Pending_Evaluation
CLM_0000051,CTR_013027,2023-06-26,2026-06-01,Fire,2677.72,0.0,In_progress,Unassigned,Pending_Evaluation
CLM_0000052,CTR_004851,2023-06-26,2026-08-01,Theft,13126.0,12438.79,Closed,EXP_005,Insured
CLM_0000053,CTR_004124,2023-06-26,2025-07-09,Glass_damage,416.68,0.0,In_progress,EXP_017,Insured
CLM_0000054,CTR_006303,2023-06-26,2026-08-01,Glass_damage,272.0,0.0,Closed,Unassigned,Shared
CLM_0000055,CTR_014725,2023-06-26,2026-08-01,Collision,8261.2,0.0,Rejected,EXP_009,Third_party
CLM_0000056,CTR_013305,2023-06-26,2026-08-01,Theft,14159.6,0.0,Rejected,EXP_008,Insured
CLM_0000057,CTR_003310,2025-11-08,2026-08-01,Collision,3891.41,0.0,Expert_review,EXP_002,Third_party
CLM_0000058,CTR_000479,2023-06-26,2026-08-01,Collision,4083.81,0.0,Expert_review,EXP_014,Pending_Evaluation
CLM_0000059,CTR_007126,2023-06-26,2026-08-01,Collision,0.0,0.0,Rejected,EXP_012,Insured
CLM_0000060,CTR_006896,2023-06-26,2026-08-01,Theft,10986.35,9462.82,Closed,EXP_014,Shared
CLM_0000061,CTR_000218,2023-06-26,2024-03-02,Vandalism,1993.39,962.78,Closed,EXP_008,Third_party
CLM_0000062,CTR_008049,2023-06-26,2023-01-08,Collision,1927.12,0.0,Rejected,EXP_013,Pending_Evaluation
CLM_0000063,CTR_005532,2023-06-26,2026-08-01,Glass_damage,445.74,0.0,Rejected,EXP_011,Insured
CLM_0000064,CTR_000828,2023-06-26,2026-08-01,Glass_damage,279.8,0.0,Open,EXP_012,Shared
CLM_0000065,CTR_003285,2023-06-26,2026-08-01,Fire,1530.98,1341.54,Closed,Unassigned,Third_party
CLM_0000066,CTR_014946,2023-08-04,2023-10-07,Fire,2654.62,0.0,Rejected,EXP_014,Pending_Evaluation
CLM_0000067,CTR_010990,2023-06-26,2026-08-01,Theft,12875.4,0.0,Rejected,EXP_006,Pending_Evaluation
CLM_0000068,CTR_007940,2023-06-26,2026-08-01,Theft,14608.34,10521.62,Closed,EXP_008,Shared
CLM_0000069,CTR_007429,2023-06-26,2026-08-01,Fire,1276.71,0.0,Rejected,EXP_016,Pending_Evaluation
CLM_0000070,CTR_002855,2023-06-26,2026-11-01,Fire,2052.19,0.0,Open,EXP_018,Shared
CLM_0000071,CTR_004471,2023-06-26,2026-08-01,Fire,897.3,0.0,Rejected,Unassigned,Shared
CLM_0000072,CTR_005941,2023-06-26,2026-08-01,Glass_damage,301.41,0.0,Rejected,EXP_006,Insured
CLM_0000073,CTR_011924,2023-06-26,2024-05-07,Fire,0.0,0.0,Rejected,EXP_017,Insured
CLM_0000074,CTR_010645,2023-06-26,2024-08-08,Collision,2698.2,2376.4,Closed,EXP_001,Pending_Evaluation
CLM_0000075,CTR_007139,2023-06-26,2026-08-01,Vandalism,1632.59,0.0,Rejected,Unassigned,Pending_Evaluation
CLM_0000076,CTR_004414,2023-06-26,2026-08-01,Vandalism,1357.53,0.0,Open,EXP_020,Third_party
CLM_0000077,CTR_005331,2023-06-26,2026-08-01,Collision,9030.15,5957.73,Closed,EXP_011,Shared
CLM_0000078,CTR_014988,2023-06-26,2026-08-01,Theft,14938.88,0.0,Expert_review,Unassigned,Insured
CLM_0000079,CTR_009403,2025-07-06,2026-08-01,Collision,5095.91,0.0,Open,EXP_018,Shared
CLM_0000080,CTR_008414,2023-06-26,2023-07-04,Glass_damage,0.0,0.0,Rejected,Unassigned,Pending_Evaluation
CLM_0000081,CTR_000880,2023-06-26,2023-03-03,Theft,15797.52,16458.7,Closed,EXP_019,Shared
CLM_0000082,CTR_006146,2023-06-26,2026-08-01,Glass_damage,190.01,0.0,Open,EXP_018,Third_party
CLM_0000083,CTR_000226,2023-06-26,2026-08-01,Collision,3965.64,0.0,Open,EXP_006,Pending_Evaluation
CLM_0000084,CTR_007010,2025-01-25,2026-08-01,Glass_damage,0.0,0.0,Closed,EXP_016,Pending_Evaluation
CLM_0000085,CTR_001126,2023-06-26,2026-08-01,Collision,0.0,3276.92,Closed,EXP_009,Third_party
CLM_0000086,CTR_008036,2023-06-26,2026-08-01,Glass_damage,501.74,0.0,Rejected,EXP_008,Shared
CLM_0000087,CTR_001783,2023-06-26,2024-07-09,Glass_damage,525.88,0.0,Rejected,Unassigned,Shared
CLM_0000088,CTR_014072,2023-06-26,2026-08-01,Collision,2023.53,0.0,Open,EXP_016,Insured
CLM_0000089,CTR_011121,2023-06-26,2026-08-01,Vandalism,0.0,0.0,Closed,EXP_003,Pending_Evaluation
CLM_0000090,CTR_001751,2023-06-26,2026-08-01,Collision,6368.29,7573.39,Closed,EXP_019,Insured
CLM_0000091,CTR_006965,2023-06-26,2026-08-01,Fire,1976.46,0.0,Expert_review,EXP_020,Pending_Evaluation
CLM_0000092,CTR_008423,2023-06-26,2026-07-03,Glass_damage,625.32,0.0,Open,EXP_014,Shared
CLM_0000093,CTR_009364,2023-06-26,2024-12-05,Collision,5642.27,0.0,Rejected,Unassigned,Pending_Evaluation
CLM_0000094,CTR_013060,2023-06-26,2025-07-07,Glass_damage,281.39,0.0,Expert_review,EXP_007,Third_party
CLM_0000095,CTR_010361,2023-06-26,2026-08-01,Vandalism,1411.93,0.0,Expert_review,EXP_014,Third_party
CLM_0000096,CTR_007939,2023-06-26,2026-08-01,Theft,19056.12,0.0,In_progress,EXP_017,Insured
CLM_0000097,CTR_007489,2023-06-26,2026-08-01,Fire,1763.16,0.0,Rejected,EXP_017,Insured
CLM_0000098,CTR_002565,2023-06-26,2026-08-01,Vandalism,3351.76,0.0,Rejected,Unassigned,Third_party
CLM_0000099,CTR_011509,2023-06-26,2026-08-01,Vandalism,2621.26,0.0,Open,EXP_008,Third_party
CLM_0000100,CTR_010412,2023-06-26,2026-08-01,Vandalism,2462.54,0.0,In_progress,Unassigned,Pending_Evaluation
CLM_0000101,CTR_002364,2023-06-26,2026-08-01,Collision,1482.36,0.0,Rejected,EXP_007,Shared
CLM_0000102,CTR_001065,2023-06-26,2026-08-01,Fire,2647.48,0.0,Closed,EXP_009,Third_party
CLM_0000103,CTR_004044,2023-06-26,2026-08-01,Vandalism,1623.03,0.0,Rejected,Unassigned,Pending_Evaluation
CLM_0000104,CTR_008296,2023-06-26,2026-08-01,Vandalism,2955.07,0.0,Rejected,Unassigned,Pending_Evaluation
CLM_0000105,CTR_007344,2023-06-26,2026-08-01,Fire,2683.66,2428.2,Closed,EXP_019,Insured
CLM_0000106,CTR_002445,2023-06-26,2026-08-01,Glass_damage,457.62,0.0,Closed,EXP_020,Third_party
CLM_0000107,CTR_011502,2023-06-26,2026-08-01,Fire,1535.43,0.0,In_progress,EXP_008,Third_party
CLM_0000108,CTR_002845,2023-06-26,2024-11-05,Theft,5489.16,0.0,Rejected,EXP_003,Third_party
CLM_0000109,CTR_010406,2023-06-26,2026-08-01,Collision,4806.78,0.0,Expert_review,EXP_020,Insured
CLM_0000110,CTR_003477,2023-06-26,2026-08-01,Glass_damage,670.92,0.0,Rejected,EXP_008,Pending_Evaluation
CLM_0000111,CTR_006944,2023-06-26,2026-08-01,Theft,19016.75,0.0,Expert_review,EXP_005,Insured
CLM_0000112,CTR_004980,2023-06-26,2024-03-12,Theft,13201.95,0.0,Closed,EXP_008,Pending_Evaluation
CLM_0000113,CTR_002758,2023-06-26,2023-03-10,Fire,1227.22,0.0,Rejected,Unassigned,Pending_Evaluation
CLM_0000114,CTR_014195,2023-06-26,2023-10-05,Theft,14180.32,10274.87,Closed,EXP_013,Insured
CLM_0000115,CTR_007265,2023-06-26,2026-08-01,Collision,4770.76,4809.38,Closed,Unassigned,Shared
CLM_0000116,CTR_005652,2023-06-26,2025-02-07,Collision,3743.08,0.0,Expert_review,Unassigned,Pending_Evaluation
CLM_0000117,CTR_002953,2023-06-26,2026-08-01,Fire,2223.36,0.0,Open,Unassigned,Third_party
CLM_0000118,CTR_007045,2023-06-26,2024-10-10,Theft,7341.55,0.0,Rejected,EXP_017,Pending_Evaluation
CLM_0000119,CTR_009844,2023-06-26,2025-01-03,Fire,1668.75,1018.31,Closed,EXP_006,Shared
CLM_0000120,CTR_000391,2023-06-26,2026-08-01,Fire,1135.63,0.0,In_progress,EXP_005,Pending_Evaluation
CLM_0000121,CTR_005148,2023-06-26,2025-09-08,Vandalism,991.1,0.0,In_progress,EXP_015,Insured
CLM_0000122,CTR_000919,2023-06-26,2026-08-01,Glass_damage,505.63,0.0,Rejected,EXP_005,Third_party
CLM_0000123,CTR_005462,2023-06-26,2026-08-01,Collision,6774.88,0.0,Expert_review,EXP_008,Shared
CLM_0000124,CTR_006459,2023-06-26,2023-06-09,Glass_damage,455.18,0.0,Rejected,Unassigned,Pending_Evaluation
CLM_0000125,CTR_009557,2023-06-26,2026-08-01,Glass_damage,493.24,26.11,Closed,EXP_014,Pending_Evaluation
CLM_0000126,CTR_005062,2023-06-26,2026-08-01,Collision,6989.57,7149.7,Closed,EXP_018,Insured
CLM_0000127,CTR_007470,2023-06-26,2026-08-01,Vandalism,2317.21,0.0,Open,EXP_004,Insured
CLM_0000128,CTR_014301,2023-06-26,2024-02-12,Glass_damage,560.15,0.0,Rejected,EXP_019,Insured
CLM_0000129,CTR_002518,2023-06-26,2023-05-12,Glass_damage,323.24,23.74,Closed,EXP_003,Third_party
CLM_0000130,CTR_001468,2023-06-26,2026-08-01,Collision,3351.63,0.0,Open,EXP_017,Insured
CLM_0000131,CTR_003482,2023-06-26,2026-08-01,Glass_damage,563.72,0.0,Rejected,EXP_015,Pending_Evaluation
CLM_0000132,CTR_011384,2023-06-26,2026-08-01,Collision,6220.25,0.0,Rejected,EXP_020,Pending_Evaluation
CLM_0000133,CTR_001033,2023-06-26,2025-06-09,Collision,0.0,0.0,Open,Unassigned,Insured
CLM_0000134,CTR_000590,2023-06-26,2023-09-07,Glass_damage,251.0,0.0,Closed,Unassigned,Shared
CLM_0000135,CTR_007342,2023-06-26,2023-11-12,Glass_damage,243.01,0.0,Rejected,Unassigned,Shared
CLM_0000136,CTR_005481,2023-06-26,2026-08-01,Glass_damage,469.6,0.0,In_progress,EXP_008,Insured
CLM_0000137,CTR_007839,2023-06-26,2026-08-01,Storm,4444.51,0.0,Expert_review,Unassigned,Pending_Evaluation
CLM_0000138,CTR_003283,2023-06-26,2026-08-01,Vandalism,3168.34,0.0,Expert_review,EXP_034,Force_majeure
CLM_0000139,CTR_003723,2023-06-26,2026-08-01,Vandalism,5351.53,0.0,In_progress,EXP_034,Force_majeure
CLM_0000140,CTR_001173,2023-06-26,2026-08-01,Vandalism,3704.87,0.0,In_progress,EXP_041,Pending_Evaluation
CLM_0000141,CTR_005491,2023-06-26,2026-08-01,Vandalism,4155.97,0.0,In_progress,EXP_036,Insured
CLM_0000142,CTR_008750,2023-06-26,2026-08-01,Vandalism,3472.53,0.0,Expert_review,EXP_041,Pending_Evaluation
CLM_0000143,CTR_007660,2023-06-26,2026-08-01,Fire,19253.7,16663.25,Closed,Unassigned,Pending_Evaluation
CLM_0000144,CTR_002798,2023-06-26,2026-08-01,Fire,48459.84,0.0,Expert_review,EXP_035,Insured
CLM_0000145,CTR_009985,2023-06-26,2026-08-01,Theft,1352.63,0.0,Expert_review,EXP_030,Insured
CLM_0000146,CTR_002132,2023-06-26,2026-08-01,Storm,3535.3,0.0,Expert_review,EXP_041,Insured
CLM_0000147,CTR_002463,2023-06-26,2024-08-06,Storm,0.0,757.88,Closed,EXP_033,Pending_Evaluation
CLM_0000148,CTR_012341,2023-06-26,2026-08-01,Theft,1896.72,0.0,Expert_review,Unassigned,Insured
CLM_0000149,CTR_000267,2023-06-26,2026-08-01,Fire,25484.2,28048.95,Closed,Unassigned,Force_majeure
CLM_0000150,CTR_002539,2023-06-26,2026-05-02,Storm,6843.9,6713.77,Closed,EXP_024,Insured
CLM_0000151,CTR_009787,2023-06-26,2026-08-01,Vandalism,4663.21,0.0,Closed,Unassigned,Insured
CLM_0000152,CTR_014334,2023-06-26,2026-08-01,Theft,5810.07,0.0,In_progress,EXP_039,Force_majeure
CLM_0000153,CTR_001831,2023-06-26,2026-08-01,Vandalism,1856.57,1094.36,Closed,Unassigned,Pending_Evaluation
CLM_0000154,CTR_007639,2023-09-05,2023-09-08,Theft,8605.07,6090.87,Closed,Unassigned,Pending_Evaluation
CLM_0000155,CTR_003374,2023-06-26,2026-08-01,Water_damage,13271.85,0.0,In_progress,EXP_025,Force_majeure
