contract_id,brand,model,year,fuel_type,current_value,color,usage,previous_claims,power_hp
CTR_000191,Volkswagen,Golf,2018,Hybrid,6566.87,Blue,Personal,2,141
CTR_000192,Peugeot,308,2020,Hybrid,7812.68,Blue,Personal,2,137
CTR_000193,Peugeot,308,2018,Diesel,4146.39,Blue,Mixed,3,135
CTR_000195,Renault,Megane,2023,Electric,16247.23,Blue,Personal,1,186
CTR_000197,Renault,Captur,2020,Gasoline,8418.145,Blue,Mixed,2,76
CTR_000200,Renault,Clio,2011,Diesel,5893.98,White,Professional,2,135
CTR_000201,Renault,Megane,2019,Gasoline,5354.24,Unknown,Professional,0,180
CTR_000202,Peugeot,3008,2013,Gasoline,4449.52,Unknown,Personal,0,135
CTR_000203,Volkswagen,Polo,2012,Hybrid,5473.0,Black,Professional,0,142
CTR_000205,Peugeot,3008,2019,Gasoline,5837.99,Unknown,Personal,2,96
CTR_000209,Volkswagen,Golf,2011,Electric,5762.92,Red,Professional,1,88
CTR_000213,Renault,Clio,2018,Gasoline,4928.98,Black,Professional,0,113
CTR_000215,BMW,Serie1,2017,Hybrid,5237.88,White,Professional,2,175
CTR_000219,Renault,Megane,2019,Hybrid,6645.36,Unknown,Professional,1,127
CTR_000220,Volkswagen,Polo,2015,Electric,5660.75,White,Professional,1,135
CTR_000222,Peugeot,208,2020,Electric,6881.47,Unknown,Mixed,2,94
CTR_000225,Volkswagen,Golf,2019,Diesel,7964.34,Red,Professional,3,178
CTR_000226,Renault,Clio,2020,Gasoline,4733.83,White,Mixed,3,150
CTR_000227,BMW,X1,2019,Gasoline,11803.37,White,Mixed,1,100
CTR_000231,Volkswagen,Tiguan,2019,Gasoline,9130.88,Gray,Mixed,3,135
CTR_000232,Renault,Megane,2016,Diesel,6450.02,Unknown,Personal,0,133
CTR_000234,BMW,X1,2024,Electric,38343.66,Red,Professional,0,102
CTR_000236,Renault,Megane,2021,Diesel,10713.42,Red,Personal,0,108
CTR_000238,Peugeot,308,2018,Hybrid,4090.0,Blue,Personal,2,178
CTR_000239,Mercedes,GLA,2018,Gasoline,10445.16,Unknown,Professional,1,95
CTR_000240,Peugeot,208,2022,Electric,9722.49,Gray,Personal,2,156
CTR_000241,Mercedes,ClasseA,2020,Diesel,23146.0,Black,Mixed,1,135
CTR_000248,Renault,Captur,2022,Electric,12301.6,White,Professional,2,135
CTR_000250,Peugeot,208,2012,Hybrid,4894.24,Blue,Personal,0,135
CTR_000251,Peugeot,308,2023,Electric,14938.2,Gray,Mixed,0,157
CTR_000252,Peugeot,308,2011,Gasoline,5695.24,Black,Personal,3,137
CTR_000255,Mercedes,ClasseA,2021,Hybrid,21910.43,White,Personal,1,142
CTR_000257,Volkswagen,Golf,2023,Electric,16733.98,Black,Professional,2,179
CTR_000258,Peugeot,208,2020,Gasoline,6826.65,Black,Personal,0,99
CTR_000261,Renault,Megane,2014,Hybrid,5340.1,Gray,Mixed,2,163
CTR_000264,Peugeot,3008,2024,Hybrid,8418.145,Gray,Professional,2,129
CTR_000265,Renault,Megane,2021,Electric,9561.3,White,Personal,2,150
CTR_000271,Renault,Captur,2019,Gasoline,6441.96,Blue,Professional,0,182
CTR_000272,Peugeot,208,2020,Diesel,4825.5,White,Professional,3,132
CTR_000277,Mercedes,GLA,2018,Hybrid,13314.22,Red,Mixed,2,166
CTR_000282,Peugeot,308,2020,Hybrid,5298.95,Black,Mixed,2,78
CTR_000283,Volkswagen,Polo,2023,Diesel,15584.69,Unknown,Mixed,1,199
CTR_000285,Renault,Megane,2018,Diesel,5058.55,Gray,Personal,1,108
CTR_000288,Mercedes,ClasseA,2020,Gasoline,19960.0,White,Mixed,2,113
CTR_000289,Renault,Captur,2018,Hybrid,4250.0,White,Personal,3,135
CTR_000290,Volkswagen,Tiguan,2015,Gasoline,4046.38,Unknown,Mixed,2,156
CTR_000291,Volkswagen,Polo,2018,Diesel,6761.23,Unknown,Professional,0,142
CTR_000292,Peugeot,308,2020,Electric,9150.52,Gray,Personal,3,138
CTR_000295,Volkswagen,Tiguan,2015,Hybrid,4880.95,Unknown,Mixed,2,135
CTR_000297,Volkswagen,Polo,2019,Electric,6609.3,White,Mixed,0,161
CTR_000298,Peugeot,3008,2020,Diesel,8550.81,White,Professional,2,139
CTR_000300,BMW,X1,2022,Electric,33556.21,White,Professional,1,95
CTR_000301,Peugeot,208,2024,Gasoline,15336.11,Blue,Personal,0,193
CTR_000302,Renault,Captur,2022,Diesel,9456.9,Black,Personal,2,109
CTR_000303,Volkswagen,Polo,2019,Hybrid,7478.58,Black,Professional,0,91
CTR_000306,Renault,Captur,2011,Diesel,5816.63,Unknown,Personal,3,172
CTR_000307,Peugeot,308,2020,Hybrid,7544.04,Red,Personal,3,148
CTR_000311,Renault,Captur,2020,Diesel,7728.91,Blue,Mixed,0,135
CTR_000312,Peugeot,308,2018,Gasoline,4148.71,Black,Personal,0,141
CTR_000313,Renault,Clio,2024,Diesel,12776.0,Gray,Personal,1,135
CTR_000314,Renault,Captur,2019,Electric,4990.78,Red,Professional,3,135
CTR_000316,Volkswagen,Tiguan,2022,Hybrid,12540.76,Gray,Mixed,3,112
CTR_000317,Volkswagen,Golf,2012,Hybrid,4241.22,Black,Professional,1,135
CTR_000325,Volkswagen,Golf,2017,Diesel,4833.21,Unknown,Mixed,0,158
CTR_000327,Peugeot,208,2024,Gasoline,15348.03,Unknown,Professional,1,135
CTR_000328,Volkswagen,Golf,2021,Electric,11837.02,Unknown,Professional,3,179
CTR_000338,Volkswagen,Tiguan,2020,Gasoline,4839.0,Unknown,Personal,3,166
CTR_000341,Peugeot,3008,2019,Gasoline,6622.78,Unknown,Personal,0,165
CTR_000342,Renault,Clio,2023,Hybrid,11074.14,Gray,Professional,3,170
CTR_000343,Volkswagen,Polo,2018,Gasoline,4556.43,Black,Personal,3,97
CTR_000347,Peugeot,208,2021,Diesel,8666.84,Blue,Personal,1,93
CTR_000351,Renault,Clio,2019,Hybrid,6543.94,Black,Professional,2,126
CTR_000352,Renault,Megane,2024,Hybrid,11300.0,Red,Mixed,0,163
CTR_000353,Renault,Clio,2020,Hybrid,6199.47,Unknown,Professional,0,135
CTR_000359,Volkswagen,Tiguan,2018,Hybrid,4625.78,White,Professional,1,135
CTR_000361,Renault,Megane,2020,Gasoline,6921.61,White,Mixed,2,97
CTR_000364,Peugeot,308,2018,Electric,5295.5,Black,Personal,0,70
CTR_000366,Peugeot,208,2023,Gasoline,15366.62,Unknown,Professional,3,135
CTR_000367,Peugeot,208,2018,Diesel,5588.13,Blue,Professional,1,197
CTR_000372,Volkswagen,Polo,2018,Hybrid,5041.58,Black,Mixed,2,149
CTR_000380,Volkswagen,Golf,2016,Hybrid,8418.145,Blue,Personal,0,134
CTR_000381,Peugeot,208,2021,Gasoline,10229.16,Blue,Professional,0,71
CTR_000382,Peugeot,3008,2022,Gasoline,9532.74,Gray,Mixed,2,91
CTR_000383,Peugeot,308,2019,Hybrid,5825.12,Unknown,Personal,1,171
CTR_000384,Volkswagen,Polo,2022,Gasoline,14052.0,Red,Professional,0,153
CTR_000387,Renault,Clio,2023,Gasoline,8418.145,Black,Mixed,0,176
CTR_000388,Renault,Clio,2022,Electric,9637.88,White,Personal,1,135
CTR_000390,Mercedes,ClasseA,2020,Gasoline,16865.77,Red,Professional,0,149
CTR_000391,Peugeot,208,2018,Gasoline,5717.0,Gray,Professional,1,135
CTR_000392,Peugeot,308,2024,Hybrid,13983.0,Blue,Mixed,1,87
CTR_000394,Volkswagen,Tiguan,2024,Electric,19944.59,Black,Mixed,0,158
CTR_000395,Peugeot,3008,2020,Electric,7149.89,Red,Professional,0,146
CTR_000396,Peugeot,308,2023,Hybrid,11435.72,Black,Personal,0,136
CTR_000398,Volkswagen,Golf,2024,Diesel,18090.4,Gray,Personal,1,110
CTR_000405,Volkswagen,Tiguan,2019,Electric,6943.96,Unknown,Personal,2,102
CTR_000406,Volkswagen,Tiguan,2021,Gasoline,14120.33,Black,Mixed,3,185
CTR_000416,Peugeot,208,2024,Diesel,19189.59,Blue,Mixed,2,155
CTR_000417,Peugeot,308,2023,Diesel,12854.17,White,Mixed,2,135
CTR_000423,Peugeot,208,2019,Electric,6775.02,Black,Mixed,0,94
CTR_000425,Peugeot,3008,2024,Diesel,14554.72,Black,Professional,0,95
CTR_000426,Peugeot,208,2019,Hybrid,5872.28,Blue,Mixed,1,149
CTR_000429,Volkswagen,Tiguan,2011,Gasoline,4970.23,Unknown,Professional,1,168
CTR_000431,Mercedes,GLA,2020,Electric,39708.93,Red,Professional,3,107
CTR_000432,Renault,Megane,2022,Hybrid,12497.0,Blue,Mixed,3,135
CTR_000435,Volkswagen,Polo,2020,Gasoline,5488.89,Black,Mixed,1,162
CTR_000442,Peugeot,208,2021,Diesel,11091.62,Black,Professional,2,200
CTR_000451,Peugeot,3008,2018,Hybrid,5285.45,Unknown,Personal,2,135
CTR_000452,Renault,Captur,2022,Gasoline,12083.88,Blue,Professional,0,101
CTR_000454,Mercedes,ClasseC,2019,Gasoline,16363.67,Red,Mixed,0,135
CTR_000455,Volkswagen,Golf,2013,Gasoline,5545.0,Black,Personal,2,122
CTR_000456,Renault,Captur,2018,Electric,5410.5,Red,Personal,3,151
CTR_000459,Mercedes,ClasseA,2021,Diesel,28152.44,Blue,Professional,1,126
CTR_000460,Mercedes,ClasseA,2021,Gasoline,22880.02,Unknown,Personal,1,158
CTR_000462,Peugeot,208,2023,Hybrid,11371.81,Gray,Mixed,2,165
CTR_000463,Renault,Captur,2020,Diesel,7725.62,White,Mixed,3,114
CTR_000465,Volkswagen,Tiguan,2019,Hybrid,7945.24,Black,Personal,1,142
CTR_000466,Peugeot,208,2018,Electric,5529.32,Red,Personal,0,135
CTR_000469,Volkswagen,Polo,2015,Electric,4293.01,Blue,Personal,0,90
CTR_000471,Peugeot,308,2019,Hybrid,7074.46,Red,Professional,3,130
CTR_000477,Volkswagen,Tiguan,2020,Diesel,11248.79,Red,Professional,0,135
CTR_000478,Renault,Megane,2022,Diesel,8609.84,Red,Professional,0,188
CTR_000479,Peugeot,208,2023,Electric,13604.1,White,Personal,3,135
CTR_000483,Renault,Clio,2011,Gasoline,4625.24,Unknown,Mixed,0,160
CTR_000484,Renault,Clio,2018,Hybrid,4549.35,Red,Professional,0,167
CTR_000485,Renault,Captur,2015,Gasoline,8418.145,Blue,Mixed,0,76
CTR_000486,Volkswagen,Tiguan,2024,Gasoline,22687.59,Blue,Personal,0,106
CTR_000488,Volkswagen,Polo,2023,Electric,14147.26,Blue,Professional,3,182
CTR_000493,Peugeot,3008,2018,Diesel,4363.34,Red,Professional,2,135
CTR_000496,Volkswagen,Golf,2014,Electric,5439.06,Unknown,Professional,0,138
CTR_000498,Peugeot,308,2018,Hybrid,5696.38,Gray,Mixed,1,162
CTR_000502,Volkswagen,Polo,2012,Diesel,5978.73,Black,Professional,2,137
CTR_000505,Peugeot,208,2024,Hybrid,8418.145,White,Professional,1,175
CTR_000507,Volkswagen,Golf,2024,Gasoline,23876.62,Black,Professional,1,194
CTR_000508,Renault,Megane,2019,Gasoline,6265.91,Unknown,Professional,1,137
CTR_000510,Renault,Captur,2018,Hybrid,4935.86,White,Mixed,1,121
CTR_000513,Peugeot,3008,2021,Electric,9920.55,Gray,Professional,0,198
CTR_000514,Peugeot,208,2022,Electric,9324.37,Unknown,Personal,2,135
CTR_000519,Renault,Megane,2019,Electric,6641.01,Red,Personal,1,160
CTR_000520,BMW,Serie3,2022,Electric,25139.54,Gray,Personal,3,135
CTR_000523,Mercedes,ClasseA,2020,Hybrid,8418.145,Unknown,Mixed,1,169
CTR_000525,Peugeot,308,2017,Hybrid,5333.9,Blue,Personal,3,158
CTR_000527,Renault,Megane,2023,Hybrid,11150.27,White,Mixed,2,135
CTR_000531,Volkswagen,Golf,2016,Electric,8418.145,Black,Professional,0,114
CTR_000538,Peugeot,308,2019,Diesel,6374.86,Unknown,Professional,1,135
CTR_000541,Renault,Captur,2019,Hybrid,6523.23,Blue,Personal,2,114
CTR_000543,Renault,Captur,2021,Hybrid,9958.62,Red,Professional,0,135
CTR_000545,Peugeot,3008,2011,Hybrid,5160.28,White,Mixed,1,66
CTR_000547,Peugeot,208,2019,Hybrid,5357.96,Blue,Mixed,0,134
CTR_000548,Volkswagen,Tiguan,2022,Hybrid,17928.96,Gray,Personal,0,105
CTR_000550,Renault,Captur,2022,Diesel,10230.01,White,Professional,3,146
CTR_000552,Volkswagen,Polo,2023,Hybrid,15135.33,Red,Professional,0,93
CTR_000555,Renault,Megane,2022,Diesel,8604.1,Gray,Personal,0,135
CTR_000560,Volkswagen,Golf,2020,Hybrid,12272.63,Blue,Mixed,0,195
CTR_000563,Volkswagen,Polo,2023,Electric,19556.52,White,Personal,0,135
CTR_000568,Renault,Captur,2018,Gasoline,4432.77,Red,Professional,1,101
CTR_000570,Peugeot,3008,2023,Hybrid,11308.58,Red,Mixed,0,135
CTR_000573,Volkswagen,Polo,2018,Electric,6629.23,Black,Professional,2,147
CTR_000576,Volkswagen,Golf,2023,Gasoline,15775.17,Black,Mixed,0,94
CTR_000579,Peugeot,308,2018,Gasoline,4923.87,Blue,Personal,1,109
CTR_000585,Renault,Captur,2020,Diesel,7602.81,White,Personal,0,117
CTR_000589,Volkswagen,Tiguan,2023,Gasoline,14519.16,Gray,Professional,3,123
CTR_000590,Volkswagen,Golf,2021,Gasoline,8418.145,Black,Mixed,3,178
CTR_000595,Renault,Captur,2021,Diesel,10550.01,White,Mixed,3,135
CTR_000596,Volkswagen,Polo,2020,Gasoline,11233.45,Gray,Personal,1,135
CTR_000597,Mercedes,GLA,2019,Gasoline,15153.83,White,Personal,0,185
CTR_000598,Mercedes,GLA,2016,Gasoline,5583.46,Unknown,Mixed,1,113
CTR_000600,Volkswagen,Polo,2014,Hybrid,5674.37,Blue,Personal,0,134
CTR_000608,Renault,Megane,2021,Gasoline,7711.98,Gray,Personal,0,181
CTR_000610,Mercedes,ClasseC,2022,Electric,31452.99,White,Personal,1,192
CTR_000613,Mercedes,ClasseC,2023,Electric,33323.9,Red,Professional,2,122
CTR_000614,Peugeot,308,2018,Electric,5013.73,Blue,Professional,1,107
CTR_000615,Renault,Clio,2013,Electric,5431.94,Black,Mixed,3,94
CTR_000616,Volkswagen,Golf,2019,Electric,8012.24,Unknown,Mixed,1,193
CTR_000624,Volkswagen,Polo,2023,Diesel,17754.51,White,Professional,0,169
CTR_000625,BMW,X1,2020,Electric,15064.19,Gray,Mixed,0,191
CTR_000630,Peugeot,208,2020,Diesel,8362.35,White,Professional,1,115
CTR_000632,Renault,Megane,2021,Electric,9197.25,Red,Personal,1,131
CTR_000635,Volkswagen,Polo,2022,Electric,17851.09,Gray,Personal,0,199
CTR_000637,Renault,Captur,2021,Gasoline,9843.51,Black,Personal,2,89
CTR_000639,Renault,Megane,2022,Electric,9527.67,White,Professional,2,135
CTR_000643,Volkswagen,Golf,2018,Diesel,5290.0,Black,Professional,0,135
CTR_000645,Renault,Clio,2022,Electric,9939.38,White,Professional,1,102
CTR_000646,Volkswagen,Polo,2020,Hybrid,11521.19,White,Professional,2,127
CTR_000649,Volkswagen,Tiguan,2014,Electric,5944.39,Red,Professional,0,102
CTR_000650,Peugeot,308,2017,Hybrid,4710.81,Red,Personal,1,181
CTR_000651,Peugeot,308,2018,Hybrid,4029.52,Blue,Professional,1,115
CTR_000652,Peugeot,208,2022,Electric,13392.18,Gray,Professional,3,111
CTR_000654,Peugeot,308,2022,Hybrid,12554.72,Gray,Personal,1,135
CTR_000657,BMW,Serie3,2021,Hybrid,25395.83,White,Professional,2,131
CTR_000658,Peugeot,208,2019,Gasoline,5300.83,Unknown,Mixed,3,184
CTR_000664,Renault,Captur,2011,Hybrid,5291.0,Unknown,Mixed,3,130
CTR_000670,Renault,Captur,2020,Electric,6501.65,Black,Personal,3,171
CTR_000673,Volkswagen,Tiguan,2023,Hybrid,14161.0,Red,Professional,2,135
CTR_000674,Volkswagen,Polo,2021,Gasoline,11044.18,Gray,Mixed,3,135
CTR_000678,Renault,Captur,2013,Diesel,8418.145,Blue,Personal,0,82
CTR_000679,Volkswagen,Golf,2020,Electric,9215.73,Unknown,Professional,0,143
CTR_000686,Volkswagen,Tiguan,2024,Gasoline,20681.14,Black,Mixed,0,92
CTR_000690,Peugeot,308,2022,Gasoline,13534.14,Gray,Personal,1,73
CTR_000694,Peugeot,308,2024,Hybrid,12454.12,Gray,Mixed,1,179
CTR_000697,Renault,Captur,2021,Hybrid,10063.65,Red,Professional,0,161
CTR_000698,Renault,Megane,2018,Gasoline,5195.11,Red,Personal,0,189
CTR_000705,Renault,Clio,2021,Gasoline,8327.06,Gray,Personal,2,135
CTR_000708,Volkswagen,Tiguan,2020,Gasoline,5295.93,White,Professional,2,135
CTR_000709,Peugeot,308,2021,Diesel,8562.82,White,Personal,1,188
CTR_000715,Volkswagen,Polo,2020,Hybrid,9384.27,Blue,Mixed,1,135
CTR_000716,Volkswagen,Golf,2021,Diesel,12407.81,White,Mixed,3,105
CTR_000717,Mercedes,ClasseA,2022,Hybrid,33037.0,Unknown,Mixed,0,155
CTR_000718,Renault,Clio,2020,Diesel,6624.15,Gray,Professional,3,78
CTR_000723,Volkswagen,Polo,2020,Hybrid,5160.62,White,Personal,1,92
CTR_000724,Renault,Clio,2022,Electric,11626.06,Black,Professional,0,135
CTR_000725,Renault,Clio,2018,Hybrid,5397.06,Unknown,Professional,0,189
CTR_000727,Volkswagen,Polo,2022,Diesel,17323.87,Red,Personal,2,173
CTR_000734,Peugeot,308,2018,Diesel,8418.145,Black,Personal,2,116
CTR_000737,Volkswagen,Tiguan,2019,Gasoline,8707.87,White,Personal,1,175
CTR_000738,Volkswagen,Tiguan,2020,Electric,9715.73,Red,Professional,2,111
CTR_000741,Renault,Megane,2013,Gasoline,4900.43,White,Mixed,1,79
CTR_000744,Volkswagen,Golf,2020,Diesel,12339.25,White,Mixed,2,163
CTR_000745,Mercedes,GLA,2019,Diesel,17079.05,Red,Professional,3,108
CTR_000750,Volkswagen,Golf,2012,Electric,5039.78,Blue,Professional,0,102
CTR_000751,Volkswagen,Tiguan,2024,Gasoline,20626.5,Gray,Mixed,3,98
CTR_000753,Volkswagen,Tiguan,2018,Gasoline,4713.92,Black,Professional,0,115
CTR_000754,Peugeot,308,2018,Electric,8418.145,Blue,Professional,2,116
CTR_000758,Volkswagen,Tiguan,2019,Diesel,9984.48,White,Mixed,2,119
CTR_000768,Peugeot,208,2018,Hybrid,5047.23,White,Mixed,3,136
CTR_000770,BMW,Serie3,2022,Hybrid,23162.19,White,Professional,1,199
CTR_000771,Peugeot,3008,2010,Electric,4896.42,Red,Personal,2,124
CTR_000775,Peugeot,3008,2021,Electric,8747.61,Black,Personal,1,135
CTR_000776,Peugeot,208,2023,Diesel,12459.0,Blue,Mixed,0,135
CTR_000777,Peugeot,3008,2015,Diesel,4450.02,Gray,Personal,2,166
CTR_000781,Renault,Megane,2012,Hybrid,4667.82,Gray,Personal,1,152
CTR_000785,Volkswagen,Golf,2021,Gasoline,14447.0,Red,Personal,3,111
CTR_000786,Peugeot,208,2022,Hybrid,12575.14,Gray,Professional,1,181
CTR_000787,BMW,X1,2020,Hybrid,4981.08,Unknown,Personal,0,171
CTR_000788,Renault,Megane,2022,Electric,11842.33,Blue,Mixed,3,127
CTR_000791,Peugeot,208,2022,Electric,13568.58,Unknown,Mixed,0,97
CTR_000792,Renault,Captur,2021,Gasoline,8623.62,Black,Professional,0,90
CTR_000797,Renault,Clio,2014,Hybrid,5959.97,Gray,Personal,3,172
CTR_000800,Renault,Megane,2018,Hybrid,4940.99,Black,Mixed,1,144
CTR_000808,Peugeot,208,2019,Hybrid,7090.89,White,Personal,1,90
CTR_000812,BMW,X1,2019,Gasoline,16040.83,White,Personal,0,135
CTR_000813,Renault,Clio,2014,Gasoline,4398.26,Gray,Personal,1,160
CTR_000817,Peugeot,208,2010,Electric,4699.69,White,Mixed,2,67
CTR_000818,Peugeot,208,2023,Diesel,14297.82,Blue,Professional,1,120
CTR_000825,Renault,Captur,2020,Diesel,4383.24,Gray,Mixed,1,79
CTR_000826,Renault,Captur,2016,Hybrid,5181.41,Blue,Professional,3,193
CTR_000827,Renault,Captur,2013,Gasoline,5069.61,Black,Professional,2,142
CTR_000828,Peugeot,3008,2020,Gasoline,7150.65,Unknown,Mixed,0,139
CTR_000831,Volkswagen,Polo,2023,Hybrid,16195.76,Red,Professional,0,89
CTR_000832,Renault,Captur,2022,Diesel,10709.41,Black,Personal,1,135
CTR_000834,Volkswagen,Polo,2010,Diesel,4599.7,Blue,Mixed,0,85
CTR_000836,Renault,Clio,2020,Diesel,6348.9,Red,Professional,0,136
CTR_000843,Renault,Megane,2020,Hybrid,8418.145,Blue,Professional,0,106
CTR_000845,Peugeot,308,2018,Diesel,5163.52,Gray,Mixed,1,90
CTR_000847,Peugeot,308,2017,Hybrid,4875.27,Red,Personal,0,135
CTR_000851,Volkswagen,Polo,2011,Gasoline,4362.5,Red,Personal,0,135
CTR_000856,Peugeot,308,2014,Gasoline,5188.73,Unknown,Professional,3,102
CTR_000859,BMW,X1,2012,Diesel,5257.21,Blue,Professional,0,169
CTR_000862,Renault,Captur,2020,Diesel,7221.05,Gray,Professional,0,130
CTR_000869,Peugeot,3008,2015,Hybrid,4745.48,Blue,Personal,1,163
CTR_000870,Peugeot,208,2019,Diesel,6881.39,Red,Mixed,0,153
CTR_000877,Peugeot,308,2011,Diesel,5409.62,Black,Mixed,3,135
CTR_000878,Renault,Captur,2021,Diesel,8444.52,Gray,Professional,0,187
CTR_000880,Renault,Megane,2020,Electric,7551.08,Black,Mixed,0,109
CTR_000881,Peugeot,3008,2019,Diesel,5360.95,Gray,Professional,0,150
CTR_000883,Peugeot,3008,2020,Gasoline,6275.79,Unknown,Personal,3,186
CTR_000884,Renault,Captur,2021,Hybrid,10281.95,Gray,Personal,1,184
CTR_000886,Peugeot,3008,2020,Gasoline,9674.43,Gray,Mixed,3,171
